Unnamed: 0,0,1,2
1,Afghanistan,47.0,2021 Taliban offensive
2,Albania,65.0,Battle of Actium
3,Algeria,30.0,Attack on Mers-El-Kebir
4,Andorra,39.0,Battle of Guadalete
5,Angola,17.0,Cabinda Conflict
6,Antigua & Barbuda,8.0,Antigua and Barbuda at the 2012 Summer Paralympics
7,Argentina,38.0,Battle of the Falkland Islands
8,Armenia,44.0,1988 Spitak earthquake
9,Australia,72.0,Malaysia Airlines Flight 370
10,Austria,65.0,Eurovision Song Contest 2015
11,Azerbaijan,52.0,Khojaly Massacre
12,Bahrain,34.0,2006 Bahrain Grand Prix
13,Bangladesh,73.0,2004 Indian Ocean earthquake
14,Barbados,13.0,Cubana Flight 455
15,Belarus,67.0,Treaty of Brest-Litovsk
16,Belgium,88.0,Battle of Waterloo
17,Belize,18.0,2005 Belize unrest
18,Benin,20.0,Cotonou Agreement
19,Bhutan,17.0,2011 Sikkim earthquake
20,Bolivia,35.0,2019 Amazon rainforest wildfires
21,Bosnia and Herzegovina,62.0,assassination of Archduke Franz Ferdinand
22,Botswana,10.0,2009 Botswana general election
23,Brazil,43.0,2014 FIFA World Cup Final
24,Brunei,72.0,Malaysia Airlines Flight 370
25,Bulgaria,43.0,Treaty of Küçük Kaynarca
26,Burkina Faso,22.0,2022 Burkina Faso coup d'état
27,Burundi,10.0,2010 Burundian presidential election
28,Cambodia,72.0,Malaysia Airlines Flight 370
29,Cameroon,21.0,Kenya Airways Flight 507
30,Canada,44.0,Anti-Counterfeiting Trade Agreement
31,Cape Verde,11.0,2016 Cape Verdean presidential election
32,Central African Republic,9.0,2020 Central African general election
33,Chad,10.0,Operation Mount Hope III
34,Chile,54.0,2010 Chile earthquake
35,Colombia,40.0,LaMia Flight 2933
36,Comoros,73.0,2004 Indian Ocean earthquake
37,Costa Rica,24.0,Estadio Nacional de Costa Rica
38,Côte d’Ivoire,16.0,Kenya Airways Flight 431
39,Croatia,46.0,2021 European floods
40,Cuba,51.0,Bay of Pigs invasion
41,Cyprus,38.0,Junior Eurovision Song Contest 2008
42,Czech Republic,70.0,Battle of Austerlitz
43,Democratic Republic of the Congo,20.0,2018�E��E2020 Kivu Ebola epidemic
44,Denmark,53.0,Battle of Jutland
45,Djibouti,22.0,Operation Atalanta
46,Dominica,8.0,2019 Dominican general election
47,Dominican Republic,22.0,Parsley Massacre
48,Timor-Leste,16.0,2017 East Timorese presidential election
49,Ecuador,35.0,2019 Amazon rainforest wildfires
50,Egypt,56.0,Metrojet Flight 9268
51,El Salvador,13.0,El Mozote massacre
52,Equatorial Guinea,17.0,2021 Bata bombings
53,Eritrea,12.0,Battle of Dogali
54,Estonia,49.0,Eurovision Song Contest 2002
55,Eswatini,6.0,Swaziland at the 2010 Summer Youth Olympics
56,Ethiopia,43.0,Battle of Adwa
57,Micronesia,39.0,Battle of the Philippine Sea
58,Fiji,12.0,2006 Fijian coup d'état
59,Finland,58.0,Eurovision Song Contest 2007
60,France,119.0,Treaty of Versailles
61,Gabon,15.0,2019 Gabonese coup d'etat attempt
62,Georgia,44.0,Rose Revolution
63,Germany,74.0,Munich agreement
64,Ghana,11.0,Allied Air Flight 111
65,Greece,76.0,Battle of Thermopylae
66,Grenada,9.0,Battle of Grenada
67,Guatemala,16.0,2012 Guatemala earthquake
68,Guinea,27.0,2021 Guinean coup d'état
69,Guinea-Bissau,11.0,2022 Guinea-Bissau coup d'état attempt
70,Guyana,35.0,2019 Amazon rainforest wildfires
71,Haiti,79.0,2010 Haiti earthquake
72,Honduras,26.0,Hurricane Felix
73,Hungary,65.0,Battle of Mohács
74,Iceland,30.0,Battle of the Denmark Strait
75,India,73.0,2004 Indian Ocean earthquake
76,Indonesia,73.0,2004 Indian Ocean earthquake
77,Iran,73.0,Ramsar Convention
78,Iraq,59.0,Battle of Gaugamela
79,Israel,69.0,Eurovision Song Contest 2019
80,Italy,70.0,Treaty on the Functioning of the European Union
81,Jamaica,62.0,United Nations Convention on the Law of the Sea
82,Japan,91.0,2011 TŁEhoku earthquake and tsunami
83,Jordan,40.0,Black September
84,Kazakhstan,29.0,RDS-1
85,Kenya,73.0,2004 Indian Ocean earthquake
86,Kiribati,15.0,Marshalls�E��EGilberts raids
88,Kuwait,34.0,Invasion of Kuwait
89,Kyrgyzstan,32.0,2017 Turkish Airlines cargo plane crash
90,Laos,24.0,2011 Burma earthquake
91,Latvia,49.0,Eurovision Song Contest 2003
92,Lebanon,78.0,2020 Beirut explosions
93,Lesotho,9.0,Southern African Development Community intervention in Lesotho
94,Liberia,13.0,2017 Liberian general election
95,Libya,40.0,2011 military intervention in Libya
96,Liechtenstein,15.0,Crossing of the Rhine
97,Lithuania,30.0,Battle of Saule
98,Luxembourg,75.0,Schengen Agreement of 1985
99,Madagascar,73.0,2004 Indian Ocean earthquake
100,Malawi,15.0,2020 Malawian presidential election
101,Malaysia,83.0,Malaysia Airlines Flight 17
102,Maldives,73.0,2004 Indian Ocean earthquake
103,Mali,36.0,Air Algérie Flight 5017
104,Malta,38.0,Junior Eurovision Song Contest 2014
105,Marshall Islands,18.0,Compact of Free Association
106,Mauritania,16.0,2008 Dakar Rally
107,Mauritius,73.0,2004 Indian Ocean earthquake
108,Mexico,44.0,Anti-Counterfeiting Trade Agreement
109,Moldova,25.0,1977 Vrancea earthquake
110,Monaco,36.0,2008 Monaco Grand Prix
111,Mongolia,31.0,Treaty of friendship and alliance between the Government of Mongolia and Tibet
112,Montenegro,32.0,Battle of Lissa
113,Morocco,44.0,Anti-Counterfeiting Trade Agreement
114,Mozambique,14.0,Islamist insurgency in Mozambique
115,Myanmar,73.0,2004 Indian Ocean earthquake
116,Namibia,17.0,LAM Mozambique Airlines Flight 470
117,Nauru,9.0,German attacks on Nauru
118,Nepal,72.0,April 2015 Nepal earthquake
119,Netherlands,77.0,Maastricht Treaty
120,New Zealand,73.0,Christchurch mosque shootings
121,Nicaragua,33.0,Nicaraguan Revolution
122,Niger,15.0,2010 Nigerien coup d'état
123,Nigeria,38.0,Nigerian Civil War
124,North Korea,25.0,Victory over Japan Day
125,North Macedonia,32.0,Serbo-Bulgarian War
126,Norway,79.0,2011 Norway attacks
127,Oman,23.0,"solar eclipse of December 26, 2019"
128,Pakistan,50.0,Kashmir conflict
129,Palau,39.0,Battle of the Philippine Sea
130,Panama,36.0,United States invasion of Panama
131,Papua New Guinea,27.0,Battle of the Bismarck Sea
132,Paraguay,16.0,Paraguay at the 2012 Summer Olympics
133,China,79.0,1989 Tiananmen Square protests
134,Peru,35.0,2019 Amazon rainforest wildfires
135,Philippines,72.0,Malaysia Airlines Flight 370
136,Poland,66.0,Battle of Grunwald
137,Portugal,79.0,Treaty of Lisbon
138,Qatar,87.0,Kyoto Protocol
139,Ireland,52.0,Eurovision Song Contest 1971
140,Republic of the Congo,17.0,2015 All-Africa Games
141,Romania,46.0,2021 European floods
142,Russia,107.0,October Revolution
143,Rwanda,19.0,African Continental Free Trade Agreement
147,Samoa,12.0,2007 Pacific Games
148,San Marino,31.0,2006 San Marino Grand Prix
149,São Tomé & Príncipe,9.0,2016 São Toméan presidential election
150,Saudi Arabia,70.0,Battle of Badr
151,Senegal,24.0,Battle of Dakar
152,Serbia,64.0,Eurovision Song Contest 2008
153,Seychelles,73.0,2004 Indian Ocean earthquake
154,Sierra Leone,17.0,2021 Sierra Leone oil tanker collision
155,Singapore,43.0,2018 North Korea�E��EUnited States Singapore Summit
156,Slovakia,42.0,Peace of Pressburg
157,Slovenia,32.0,Battle of Lissa
158,Solomon Islands,27.0,Naval Battle of Guadalcanal
159,Somalia,73.0,2004 Indian Ocean earthquake
160,South Africa,73.0,2004 Indian Ocean earthquake
161,South Korea,50.0,Battle of Tsushima
162,South Sudan,39.0,South Sudanese independence referendum
163,Spain,73.0,Battle of Trafalgar
164,Sri Lanka,73.0,2004 Indian Ocean earthquake
165,Palestinian Territories,64.0,Israeli�E��EPalestinian conflict
166,Sudan,55.0,Darfur conflict
167,Suriname,35.0,2019 Amazon rainforest wildfires
168,Sweden,69.0,Eurovision Song Contest 2016
169,Switzerland,64.0,Treaty of Lausanne
170,Syria,51.0,Battle of Kadesh
171,Taiwan,72.0,Malaysia Airlines Flight 370
172,Tajikistan,16.0,1990 Dushanbe riots
173,Tanzania,73.0,2004 Indian Ocean earthquake
174,Thailand,73.0,2004 Indian Ocean earthquake
175,Bahamas,23.0,Miss Universe 2009
176,Gambia,13.0,ECOWAS military intervention in the Gambia
177,Togo,11.0,2020 Togolese presidential election
178,Tonga,12.0,Cyclone Harold
179,Trinidad & Tobago,14.0,Miss Universe 1999
180,Tunisia,30.0,2015 Sousse attack
181,Turkey,76.0,2016 Turkish coup d'état attempt
182,Turkmenistan,24.0,1948 Ashgabat earthquake
183,Tuvalu,8.0,Tuvalu at the 2010 Summer Youth Olympics
184,Uganda,52.0,Operation Entebbe
185,Ukraine,115.0,Chernobyl disaster
186,United Arab Emirates,32.0,2009 Abu Dhabi Grand Prix
187,United Kingdom,120.0,Brexit
188,United States,150.0,September 11 attacks
189,Uruguay,37.0,Battle of the River Plate
190,Uzbekistan,24.0,Andijan massacre
191,Vanuatu,12.0,Cyclone Harold
192,Vatican City,66.0,Treaty on the Non-Proliferation of Nuclear Weapons
193,Venezuela,35.0,2019 Amazon rainforest wildfires
194,Vietnam,72.0,Malaysia Airlines Flight 370
195,Yemen,73.0,2004 Indian Ocean earthquake
196,Zambia,13.0,1961 Ndola United Nations DC-6 crash
197,Zimbabwe,34.0,2017 Zimbabwean coup d'état attempt
