Entity,Deaths - Road injuries - Sex: Both - Age: All Ages (Number)
Afghanistan,8254
African Region (WHO),182243
Albania,243
Algeria,11051
American Samoa,5
Andorra,8
Angola,9253
Antigua and Barbuda,7
Argentina,6318
Armenia,240
Australia,1595
Austria,491
Azerbaijan,803
Bahamas,56
Bahrain,177
Bangladesh,8612
Barbados,31
Belarus,1049
Belgium,888
Belize,80
Benin,1937
Bermuda,7
Bhutan,64
Bolivia,2037
Bosnia and Herzegovina,195
Botswana,574
Brazil,44529
Brunei,61
Bulgaria,678
Burkina Faso,5278
Burundi,1907
Cambodia,2911
Cameroon,6401
Canada,2479
Cape Verde,47
Central African Republic,3045
Chad,2576
Chile,2299
China,250025
Colombia,7408
Comoros,151
Congo,1521
Cook Islands,4
Costa Rica,841
Cote d'Ivoire,3353
Croatia,372
Cuba,1082
Cyprus,134
Czechia,758
Democratic Republic of Congo,29543
Denmark,294
Djibouti,161
Dominica,12
Dominican Republic,2668
East Asia & Pacific (WB),390700
Eastern Mediterranean Region (WHO),152634
Ecuador,4788
Egypt,29490
El Salvador,1279
England,2232
Equatorial Guinea,282
Eritrea,1119
Estonia,82
Eswatini,397
Ethiopia,9212
Europe & Central Asia (WB),84990
European Region (WHO),85784
Fiji,90
Finland,266
France,4237
French Guiana,
French Polynesia,
G20,734070
Gabon,519
Gambia,259
Georgia,693
Germany,4468
Ghana,5806
Greece,1278
Greenland,2
Grenada,10
Guadeloupe,
Guam,17
Guatemala,2795
Guinea,2258
Guinea-Bissau,457
Guyana,156
Haiti,1366
Honduras,1166
Hong Kong,
Hungary,803
Iceland,11
India,211975
Indonesia,37004
Iran,21122
Iraq,5603
Ireland,166
Israel,610
Italy,5273
Jamaica,183
Japan,6841
Jordan,1262
Kazakhstan,2781
Kenya,4595
Kiribati,21
Kosovo,
Kuwait,583
Kyrgyzstan,987
Laos,1096
Latin America & Caribbean (WB),115260
Latvia,189
Lebanon,441
Lesotho,923
Liberia,503
Libya,2155
Lithuania,262
Luxembourg,38
Macau,
Madagascar,2931
Malawi,2077
Malaysia,7592
Maldives,22
Mali,2757
Malta,15
Marshall Islands,11
Martinique,
Mauritania,836
Mauritius,165
Mexico,21103
Micronesia (country),23
Middle East & North Africa (WB),126274
Moldova,360
Monaco,2
Mongolia,672
Montenegro,59
Morocco,9184
Mozambique,4979
Myanmar,5739
Namibia,575
Nauru,3
Nepal,2721
Netherlands,810
New Caledonia,
New Zealand,352
Nicaragua,742
Niger,2785
Nigeria,18508
Niue,0
North America (WB),43848
North Korea,8382
North Macedonia,171
Northern Ireland,85
Northern Mariana Islands,6
Norway,202
OECD Countries,123134
Oman,2053
Pakistan,19348
Palau,3
Palestine,391
Panama,530
Papua New Guinea,2232
Paraguay,1501
Peru,4755
Philippines,10945
Poland,3853
Portugal,957
Puerto Rico,409
Qatar,737
Region of the Americas (WHO),158677
Romania,2275
Russia,20867
Rwanda,2402
Saint Kitts and Nevis,6
Saint Lucia,26
Saint Vincent and the Grenadines,10
Samoa,33
San Marino,3
Sao Tome and Principe,21
Saudi Arabia,21316
Scotland,248
Senegal,1823
Serbia,729
Seychelles,16
Sierra Leone,1493
Singapore,168
Slovakia,427
Slovenia,136
Solomon Islands,156
Somalia,3476
South Africa,19239
South Asia (WB),254305
South Korea,6882
South Sudan,991
South-East Asia Region (WHO),297528
Spain,2570
Sri Lanka,3309
Sub-Saharan Africa (WB),182017
Sudan,7349
Suriname,102
Sweden,368
Switzerland,338
Syria,1901
Taiwan,3905
Tajikistan,705
Tanzania,5824
Thailand,19541
Timor,159
Togo,1453
Tokelau,0
Tonga,10
Trinidad and Tobago,186
Tunisia,2473
Turkey,7749
Turkmenistan,284
Tuvalu,3
Uganda,5563
Ukraine,6980
United Arab Emirates,3833
United Kingdom,2696
United States,41362
United States Virgin Islands,15
Uruguay,560
Uzbekistan,4929
Vanuatu,67
Venezuela,6207
Vietnam,24153
Wales,130
Wallis and Futuna,
Western Pacific Region (WHO),319455
Western Sahara,
World,1198289
World (excluding China),
World Bank High Income,128599
World Bank Low Income,120076
World Bank Lower Middle Income,469269
World Bank Upper Middle Income,479621
Yemen,11717
Zambia,2285
Zimbabwe,2554
