countryLabel,cityLabel,yearinception
Russia,Moscow,1147
Estonia,Tallinn,1285
United States of America,"Washington, D.C.",1790
Germany,Berlin,1237
Switzerland,Bern,1191
United Kingdom,London,47
Egypt,Cairo,969
France,Paris,-300
Lithuania,Vilnius,1201
Italy,Rome,-752
Poland,Warsaw,1300
Singapore,Singapore,1965
Slovenia,Ljubljana,1144
Norway,Oslo,1048
India,New Delhi,1911
Georgia,Tbilisi,455
Czech Republic,Prague,800
Uruguay,Montevideo,1726
Croatia,Zagreb,1094
Argentina,Buenos Aires,1580
Mexico,Mexico City,1325
Japan,Tokyo,1943
Bolivia,La Paz,1548
Kazakhstan,Nur-Sultan,1830
Greece,Athens,-7000
Venezuela,Caracas,1567
Cuba,Havana,1515
Austria,Vienna,-100
Sweden,Stockholm,1187
Finland,Helsinki,1550
Republic of Ireland,Dublin,841
Iceland,Reykjavík,1786
Latvia,Riga,1201
Slovakia,Bratislava,907
Hungary,Budapest,1873
San Marino,San Marino,301
Cambodia,Phnom Penh,1372
Andorra,Andorra la Vella,900
Ukraine,Kyiv,482
Canada,Ottawa,1850
Armenia,Yerevan,-781
Belarus,Minsk,1067
Colombia,Bogotá,1538
Brazil,Brasília,1960
Peru,Lima,1535
Chile,Santiago,1541
Ecuador,Quito,1534
Bolivia,Sucre,1538
Paraguay,Asunción,1537
Suriname,Paramaribo,1613
Belize,Belmopan,1970
Australia,Canberra,1913
Algeria,Algiers,944
Ethiopia,Addis Ababa,1886
Indonesia,Jakarta,1527
Chad,N'Djamena,1900
Kenya,Nairobi,1899
Bahrain,Manama,1345
South Africa,Pretoria,1855
South Africa,Cape Town,1652
Azerbaijan,Baku,100
East Timor,Dili,1520
Guyana,Georgetown,1781
Bosnia and Herzegovina,Sarajevo,1462
North Korea,Pyongyang,-2332
Romania,Bucharest,1459
Albania,Tirana,1614
Moldova,ChiȁEināEu,1436
Mongolia,Ulaanbaatar,1639
New Zealand,Wellington,1839
Malta,Valletta,1566
Barbados,Bridgetown,1628
Papua New Guinea,Port Moresby,1873
South Africa,Bloemfontein,1846
Tonga,Nuku'alofa,1795
Palau,Ngerulmud,2006
Transitional Islamic State of Afghanistan,Kabul,1200
Islamic Republic of Afghanistan,Kabul,1200
Saint Vincent and the Grenadines,Kingstown,1722
Kingdom of Denmark,Copenhagen,1167
Romanian Old Kingdom,Bucharest,1459
Weimar Republic,Berlin,1237
Kingdom of the Netherlands,Amsterdam,1300
Israel,Jerusalem,-4000
Bangladesh,Dhaka,1608
Pakistan,Islamabad,1960
Philippines,Manila,1571
Iraq,Baghdad,762
Guatemala,Guatemala City,1776
Vietnam,Hanoi,1010
Thailand,Bangkok,1782
Malaysia,Kuala Lumpur,1857
Taiwan,Taipei,1709
South Sudan,Juba,1922
The Bahamas,Nassau,1695
Costa Rica,San José,1737
El Salvador,San Salvador,1525
Honduras,Tegucigalpa,1578
Nicaragua,Managua,1819
Panama,Panama City,1519
Morocco,Rabat,1146
Libya,Tripoli,-601
Djibouti,Djibouti,1888
Iran,Tehran,1794
Eritrea,Asmara,1897
Saudi Arabia,Riyadh,1701
The Gambia,Banjul,1816
Guinea-Bissau,Bissau,1687
Liberia,Monrovia,1824
Sierra Leone,Freetown,1792
Nigeria,Abuja,1828
Cameroon,Yaoundé,1888
Equatorial Guinea,Malabo,1827
Gabon,Libreville,1849
Central African Republic,Bangui,1889
Democratic Republic of the Congo,Kinshasa,1881
Republic of the Congo,Brazzaville,1880
Rwanda,Kigali,1907
Qatar,Doha,1850
Tanzania,Dodoma,1906
Malawi,Lilongwe,1902
Zambia,Lusaka,1905
Mozambique,Maputo,1781
Angola,Luanda,1575
Eswatini,Mbabane,1902
Lesotho,Maseru,1869
Madagascar,Antananarivo,1625
Botswana,Gaborone,1968
Zimbabwe,Harare,1890
Mauritius,Port Louis,1735
São Tomé and Príncipe,São Tomé,1485
Namibia,Windhoek,1840
Afghanistan,Kabul,1200
Islamic Emirate of Afghanistan,Kabul,1200
South Korea,Seoul,1394
Bhutan,Thimphu,1955
Laos,Vientiane,1560
Kyrgyzstan,Bishkek,1825
Tajikistan,Dushanbe,1700
Turkmenistan,Ashgabat,1881
Haiti,Port-au-Prince,1749
Jamaica,Kingston,1692
Dominican Republic,Santo Domingo,1496
Antigua and Barbuda,Saint John's,1632
Myanmar,Naypyidaw,2005
Saint Kitts and Nevis,Basseterre,1627
Saint Lucia,Castries,1650
Burundi,Gitega,1912
Belgium,Brussels,979
Benin,Porto-Novo,1730
Brunei,Brunei,1400
Bulgaria,Sofia,-500
Burkina Faso,Ougadougou,1100
Cape Verde,Praia,1615
China,Beijing,-1000
Comoros,Moroni,1000
Ivory Coast,Yamoussoukro ,1901
Cyprus,Nicosia,-700
Fiji,Suva,1868
Ghana,Accra,1500
Grenada,St Grorges,1650
Guinea,Conakry,1887
Jordan,Amman,-800
